Date Added,category,sellerlink,sellerlink-url,sellerstorefront-url,sellerproductcount,sellerratings,sellerdetails,seller business name,businessaddress,Count of seller brands,Max % of negative seller ratings - last 30 days,Max % of negative seller ratings - last 90 days,Max % of negative seller ratings - last 12 months,Hero Product 1 #ratings,Hero Product 2 #ratings,Sample brand name,Sample Brand URL
15-Nov-20,Garden,Seller 1,Seller 1-link,Seller 1-storefrontlink,"1-16 of over 100,000 results",88% positive in the last 12 months (118 ratings),"Lohas Living Inc James Mazzello US 845 3RD Ave Fl 6 New York NY 10022-6630 +1208-964-6807  Email Address:jadgemaello@gmail.com James Mazzello  US 845 3RD Ave Fl 6 New York NY 10022-6630 +1208-964-6807 EIN: 30-0961431 
The European Commission provides for an Online Dispute Resolution Platform, which you can access here: https://ec.europa.eu/consumers/odr/

Please see the following link for the nationally appointed Alternative Dispute Resolution bodies contact details: https://webgate.ec.europa.eu/od...",Business Name:Lohas Living Inc,411 THEODORE FREMD AVESTE 206 SOUTHRyeNY10580-1410US,16,17,11,12,5873,4957,Visit the YAMAZAKI Store,https://www.amazon.de/-/en/stores/YAMAZAKI/page/B9975298-FF1F-4EE2-BD7B-53AE47A44D8A?ref_=ast_bln
15-Nov-20,Garden,Seller 2,Seller 2-link,Seller 2-storefrontlink,,90% positive in the last 12 months (566 ratings),"Herzlich Willkommen im Amazon Shop von 1a-Handelsagentur. Für Fragen stehen wir Ihnen gerne unter der 039932-829721 zur Verfügung. Sie können auch direkt eine E-Mail an info@1a-handelsagentur.de schreiben. Anschrift
1a-handelsagentur.de
Andre Burmeister
Lindenallee 2
17213 Malchow Kontakt
Tel.: 039932 - 829721 
Fax.: 039932 – 81417 
E-Mail: info@1a-handelsagentur.de
Internet: www.1a-handelsagentur.de

Umsatzsteueridentnummer: DE 223758473 
Wir berechnen Ihnen folgende Versandkosten:(DE) Deutschland 0,00 E...",Business Name:1a-Handelsagentur,1a HandelsagenturLindenallee 2MalchowMecklenburg17213DE,0,2,2,9,0,0,Visit the tesa Store,https://www.amazon.de/-/en/stores/tesa/page/12E699E9-FA20-4BC9-A12B-8A9CDE0C446C?ref_=ast_bln
15-Nov-20,Garden,Seller 3,Seller 3-link,Seller 3-storefrontlink,"1-16 of over 2,000 results",85% positive in the last 12 months (75 ratings),67878u6i7 is committed to providing each customer with the highest standard of customer service.,Business Name:nantongaohuanfangzhipinyouxiangongsi,zhongnanshijicheng27zhuang1410haochongchuanqunantongshi226000CN,15,0,25,12,164,162,TXYFYP,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=TXYFYP
15-Nov-20,Garden,Seller 4,Seller 4-link,Seller 4-storefrontlink,1-16 of 123 results,,7 days home life supermarket is committed to providing each customer with the highest standard of customer service.,Business Name:Zhengzhou Yaoqiong Trading Company,_____________________________1901_450000CN,1,0,0,0,0,0,SHIFENG,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=SHIFENG
15-Nov-20,Garden,Seller 5,Seller 5-link,Seller 5-storefrontlink,"1-16 of over 1,000 results",81% positive in the last 12 months (52 ratings),78 68yui678 is committed to providing each customer with the highest standard of customer service.,Business Name:shenzhenfeichangshangmeimaoyiyouxiangongsi,minzhidadaoshaxialaocun94dongA901longhuaxinqushenzhenshi518000CN,16,0,31,15,224,113,YUOKI99,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=YUOKI99
15-Nov-20,Garden,Seller 6,Seller 6-link,Seller 6-storefrontlink,1-16 of 28 results,,7830jeff is committed to providing each customer with the highest standard of customer service.,,,13,0,0,0,3284,2944,Strata,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Strata
15-Nov-20,Garden,Seller 7,Seller 7-link,Seller 7-storefrontlink,"1-16 of over 4,000 results",,7hgfeee is committed to providing each customer with the highest standard of customer service.,Business Name:quanzhoushixindazhixiangyouxiangongsi,fengzequbeifengjiedaoshantianlu46haoquanzhoushifujiansheng362000CN,6,0,0,0,18,1,Gaorb040703,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Gaorb040703
15-Nov-20,Garden,Seller 8,Seller 8-link,Seller 8-storefrontlink,"1-16 of over 3,000 results",,7s6fguisdhj is committed to providing each customer with the highest standard of customer service.,Business Name:jinangeshunshangmaoyouxiangongsi,TianQiaoQuTongYuanJuQianJie11HaoAQu204JiNanShiShanDongSheng250000CN,1,0,0,0,0,0,Tuzi,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=ce-de&field-keywords=Tuzi
15-Nov-20,Garden,Seller 9,Seller 9-link,Seller 9-storefrontlink,1-16 of 133 results,100% positive lifetime (4 total ratings),7WallArts is committed to providing each customer with the highest standard of customer service.,Business Name:SEVEN WALL ARTS (XIAMEN) LIMITED,"No.267 Northern Industrial Zone Jinli VillageHaicang DistrictXiamenFujian, China361026CN",1,0,0,0,65,9,SEVEN WALL ARTS,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=SEVEN+WALL+ARTS
15-Nov-20,Garden,Seller 10,Seller 10-link,Seller 10-storefrontlink,"1-16 of over 3,000 results",,87efef is committed to providing each customer with the highest standard of customer service.,Business Name:sichuanchangkonglüyefuwuyouxianzerengongsi,jinjiangqujinghuananlu95haochengdushisichuansheng610011CN,4,0,0,0,6,1,Mingi,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=Mingi
